# cProfile cumulative time, top 50
         2573752 function calls (2517252 primitive calls) in 1.854 seconds

   Ordered by: cumulative time
   List reduced from 10026 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.008    0.000    0.010    0.001 {built-in method _imp.create_dynamic}
     4863    0.007    0.000    0.046    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/bv.py:235(BVV)
        1    0.007    0.007    0.007    0.007 {built-in method vex_engine.set_shared_z3_context}
     1263    0.007    0.000    0.007    0.000 {method 'update' of 'set' objects}
   2203/2    0.007    0.000    1.067    0.533 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
 1499/177    0.007    0.000    0.016    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
    50794    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
       54    0.007    0.000    0.048    0.001 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:42(copy)


