# cProfile cumulative time, top 50
         13387528 function calls (13291286 primitive calls) in 9.654 seconds

   Ordered by: cumulative time
   List reduced from 9517 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.106    0.002    0.167    0.004 /home/ubuntu/repos/angr/angr/exploration/rust_state_sync.py:597(_sync_extra_python_pages)
    93330    0.105    0.000    2.768    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:187(_initialize_page)
    93330    0.104    0.000    2.612    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:52(_initialize_page)
   107690    0.096    0.000    0.405    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/bv.py:235(BVV)
14001/13776    0.094    0.000    0.286    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/base.py:133(__new__)
   953891    0.090    0.000    0.091    0.000 {built-in method builtins.isinstance}
   103367    0.085    0.000    3.656    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:66(_get_page)
    93285    0.083    0.000    0.240    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/permissions_mixin.py:14(__init__)
     5583    0.083    0.000    0.083    0.000 {method 'update' of 'set' objects}
   103367    0.081    0.000    3.741    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/privileged_mixin.py:23(_get_page)
    93826    0.081    0.000    0.353    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/sortedcontainers/sorteddict.py:545(update)
    92835    0.078    0.000    0.145    0.000 /home/ubuntu/repos/angr/angr/exploration/rust_state_sync.py:1611(_extract_from_ultrapage)
   189159    0.068    0.000    0.083    0.000 {method 'extend' of 'list' objects}
    93285    0.064    0.000    0.370    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:12(__init__)
793219/791660    0.064    0.000    0.073    0.000 {built-in method builtins.len}
    93330    0.064    0.000    2.832    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/stack_allocation_mixin.py:72(_initialize_page)
    93285    0.061    0.000    0.431    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/history_tracking_mixin.py:18(__init__)
   201195    0.058    0.000    0.115    0.000 {built-in method builtins.next}
      135    0.058    0.000    4.558    0.034 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:347(map_region)
578796/576816    0.057    0.000    0.293    0.000 {built-in method builtins.getattr}
4600/4578    0.046    0.000    0.128    0.000 {built-in method builtins.__build_class__}
   388326    0.046    0.000    0.059    0.000 {built-in method builtins.hasattr}
     3345    0.042    0.000    0.055    0.000 <frozen importlib._bootstrap>:162(__enter__)
   387583    0.038    0.000    0.039    0.000 {method 'get' of 'dict' objects}
     7379    0.038    0.000    1.609    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:177(store)
