# cProfile cumulative time, top 50
         13226302 function calls (13134336 primitive calls) in 8.181 seconds

   Ordered by: cumulative time
   List reduced from 9431 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   134620    0.034    0.000    0.044    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/memory_mixin.py:38(category)
     9707    0.033    0.000    0.033    0.000 {built-in method builtins.dir}
   2359/1    0.032    0.000    8.185    8.185 {built-in method builtins.exec}
    44694    0.031    0.000    0.051    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/base.py:406(_arg_serialize)
    92718    0.031    0.000    0.031    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:97(_page_kwargs)
    92898    0.030    0.000    0.066    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:16(_init)
185918/185792    0.029    0.000    0.030    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/cle/memory.py:366(backers)
    22303    0.029    0.000    0.133    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/base.py:384(_ast_serialize)


