# cProfile cumulative time, top 50
         4554685 function calls (4497291 primitive calls) in 2.687 seconds

   Ordered by: cumulative time
   List reduced from 10123 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7866    0.014    0.000    0.186    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/base.py:226(make_like)
124541/122982    0.014    0.000    0.019    0.000 {built-in method builtins.len}
      108    0.014    0.000    0.101    0.001 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:42(copy)
    14108    0.014    0.000    0.020    0.000 {built-in method builtins.max}
     8302    0.013    0.000    0.021    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/operations.py:82(_handle_annotations)
     1264    0.013    0.000    0.013    0.000 {built-in method _io.open_code}
  896/235    0.013    0.000    0.031    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
     2085    0.013    0.000    0.038    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:27(__init__)
21648/196    0.013    0.000    0.027    0.000 /usr/lib/python3.12/copy.py:118(deepcopy)
    15031    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3344    0.012    0.000    0.076    0.000 <frozen importlib._bootstrap>:304(acquire)
18536/17707    0.011    0.000    0.023    0.000 {built-in method __new__ of type object at 0xa43b40}
     6162    0.011    0.000    0.011    0.000 {method 'read' of '_io.BufferedReader' objects}
     7545    0.011    0.000    0.066    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/bv.py:235(BVV)
     2168    0.011    0.000    0.115    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       98    0.011    0.000    0.088    0.001 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:59(__del__)
     1635    0.011    0.000    0.016    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/ultra_page.py:137(store)
    84078    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
    21316    0.010    0.000    0.018    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/backends/backend_concrete/backend_concrete.py:108(convert)
      817    0.010    0.000    0.010    0.000 {method 'read' of '_io.FileIO' objects}
     2081    0.010    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    27362    0.010    0.000    0.018    0.000 {built-in method builtins.any}
    78194    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    59297    0.010    0.000    0.010    0.000 {built-in method builtins.getattr}


